,,,,,,,,,,,,,,,,,Dalam ribuan,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BEBEK ,DP ,Bayar ,ANGSURAN ,,,,,,,MATIC ,DP ,Bayar ,ANGSURAN ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTHERS ,DP ,Bayar ,ANGSURAN ,,,,,,,,4.600,3.300,4.165,2.472,2.149,1.933,1.866,1.709,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,12,24,30,36,40,48,,ADV 160 CBS,3.900,2.600,3.749,2.224,1.934,1.740,1.679,1.537 ,,,,,,,,,,,,,,,,,,,,,,,,,
,CRF 250,10.150,8.350,9.450,5.598,4.863,4.372,4.218,3.859 ,,38.750.000,4.000,2.700,3.739,2.219,1.929,1.735,1.675,1.534 ,,,,,,,,,,,,,,,,,,,,,,,,,
,101.310.000,10.300,8.500,9.435,5.589,4.856,4.365,4.212,3.853 ,,,4.100,2.800,3.729,2.213,1.924,1.731,1.670,1.530,,,,,,,,,,,,,,,,,,,,,,,,,
,,10.400,8.600,9.425,5.583,4.851,4.361,4.207,3.849,,ADV 160 ABS,4.200,2.900,4.007,2.378,2.067,1.860,1.795,1.644 ,,,,,,,,,,,,,,,,,,,,,,,,,
,MONKEY,8.950,7.150,8.372,4.959,4.308,3.873,3.737,3.418 ,,41.590.000,4.300,3.000,3.997,2.372,2.062,1.855,1.790,1.640,,,,,,,,,,,,,,,,,,,,,,,,,
,89.480.000,9.100,7.300,8.357,4.950,4.301,3.866,3.730,3.413 ,,,4.400,3.100,3.987,2.366,2.057,1.851,1.786,1.636,,,,,,,,,,,,,,,,,,,,,,,,,
,,9.200,7.400,8.347,4.945,4.296,3.862,3.726,3.409,,ADV 160 ROADSYNC,4.350,3.050,4.146,2.460,2.139,1.925,1.857,1.701 ,,,,,,,,,,,,,,,,,,,,,,,,,
,CT 125,8.450,6.650,7.883,4.670,4.057,3.647,3.518,3.219 ,,43.110.000,4.400,3.100,4.141,2.458,2.137,1.922,1.855,1.699,,,,,,,,,,,,,,,,,,,,,,,,,
,84.160.000,8.600,6.800,7.868,4.661,4.049,3.640,3.512,3.213 ,,,4.500,3.200,4.131,2.452,2.132,1.918,1.851,1.695,,,,,,,,,,,,,,,,,,,,,,,,,
,,8.700,6.900,7.858,4.655,4.044,3.635,3.508,3.209,,CBR 250 ,DP ,Bayar ,ANGSURAN ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EM1 e - CHARGER,4.650,3.150,4.385,2.558,2.214,1.970,  - ,  - ,,,,,12,24,30,36,40,48,,,,,,,,,,,,,,,,,,,,,,,,,
.,46.121.000,4.750,3.250,4.375,2.552,2.209,1.966,  - ,  - ,,CBR 250 STD - BK ,7.700,5.900,7.199,4.264,3.704,3.330,3.213,2.939 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,4.850,3.350,4.365,2.546,2.204,1.961,  - ,  - ,,76.660.000,7.800,6.000,7.189,4.258,3.699,3.325,3.208,2.935,,,,,,,,,,,,,,,,,,,,,,,,,
